full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
777genius/claude-code-source-code,912,912,1109,0,0,-2,https://github.com/777genius/claude-code-source-code
disler/claude-code-hooks-mastery,3707,3707,615,4,4,1,https://github.com/disler/claude-code-hooks-mastery
Maciek-roboblog/Claude-Code-Usage-Monitor,8068,8068,411,7,7,2,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
zstmfhy/Claude-code,190,190,284,0,0,0,https://github.com/zstmfhy/Claude-code
anthropics/claude-code-security-review,4820,4820,479,52,52,7,https://github.com/anthropics/claude-code-security-review
kodu-ai/claude-coder,5273,5273,199,-3,-3,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2370,2370,407,1,1,-1,https://github.com/Yuyz0112/claude-code-reverse
Windy3f3f3f3f/how-claude-code-works,2468,2468,583,17,17,1,https://github.com/Windy3f3f3f3f/how-claude-code-works
freestylefly/claude-code,125,125,298,0,0,-1,https://github.com/freestylefly/claude-code
fuergaosi233/claude-code-proxy,2619,2619,384,5,5,1,https://github.com/fuergaosi233/claude-code-proxy
RichardAtCT/claude-code-telegram,2631,2631,386,3,3,1,https://github.com/RichardAtCT/claude-code-telegram
alejandrobalderas/claude-code-from-source,2115,2115,621,16,16,4,https://github.com/alejandrobalderas/claude-code-from-source
Tinkeringg-Lab/claude-code,205,205,237,0,0,0,https://github.com/Tinkeringg-Lab/claude-code
multica-ai/andrej-karpathy-skills,155217,155217,15916,2665,2665,278,https://github.com/multica-ai/andrej-karpathy-skills
anthropics/skills,140746,140746,16626,475,475,53,https://github.com/anthropics/skills
ding113/claude-code-hub,2919,2919,329,5,5,0,https://github.com/ding113/claude-code-hub
rohitg00/awesome-claude-code-toolkit,1820,1820,578,18,18,10,https://github.com/rohitg00/awesome-claude-code-toolkit
fazxes/Claude-code,216,216,212,-1,-1,0,https://github.com/fazxes/Claude-code
Cranot/claude-code-guide,2775,2775,311,0,0,2,https://github.com/Cranot/claude-code-guide
mehmoodosman/claude-code,168,168,216,0,0,0,https://github.com/mehmoodosman/claude-code
isboyjc/claude-code,157,157,218,1,1,0,https://github.com/isboyjc/claude-code
SeemSeam/claude_codex_bridge,2769,2769,274,16,16,1,https://github.com/SeemSeam/claude_codex_bridge
luyao618/Claude-Code-Source-Study,1423,1423,518,1,1,0,https://github.com/luyao618/Claude-Code-Source-Study
AprilNEA/claude-code-source,384,384,616,0,0,0,https://github.com/AprilNEA/claude-code-source
https-deeplearning-ai/sc-claude-code-files,519,519,746,2,2,2,https://github.com/https-deeplearning-ai/sc-claude-code-files
anthropics/claude-code-base-action,847,847,605,0,0,0,https://github.com/anthropics/claude-code-base-action
repowise-dev/claude-code-prompts,1059,1059,367,4,4,-1,https://github.com/repowise-dev/claude-code-prompts
guanshan/ClaudeCode,59,59,213,0,0,0,https://github.com/guanshan/ClaudeCode
JrCx7scC/claude-code-source,368,368,548,0,0,0,https://github.com/JrCx7scC/claude-code-source
luongnv89/claude-howto,34195,34195,4177,111,111,3,https://github.com/luongnv89/claude-howto
sickn33/antigravity-awesome-skills,38700,38700,6295,117,117,22,https://github.com/sickn33/antigravity-awesome-skills
lowcortisolprogrammer/claude-code,171,171,163,0,0,0,https://github.com/lowcortisolprogrammer/claude-code
edmund-io/edmunds-claude-code,1444,1444,285,1,1,0,https://github.com/edmund-io/edmunds-claude-code
Yeachan-Heo/oh-my-claudecode,34837,34837,3186,72,72,3,https://github.com/Yeachan-Heo/oh-my-claudecode
Pimzino/claude-code-spec-workflow,3744,3744,267,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
carlvellotti/claude-code-pm-course,2044,2044,329,6,6,0,https://github.com/carlvellotti/claude-code-pm-course
AICoderTudou/claude-code-tudou,501,501,401,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
Windy3f3f3f3f/claude-code-from-scratch,1267,1267,375,11,11,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
andrew-kramer-inno/claude-code-source-build,590,590,525,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
ghuntley/claude-code-source-code-deobfuscation,977,977,550,-1,-1,-1,https://github.com/ghuntley/claude-code-source-code-deobfuscation
feiskyer/claude-code-settings,1523,1523,222,2,2,0,https://github.com/feiskyer/claude-code-settings
sugyan/claude-code-webui,1123,1123,244,2,2,0,https://github.com/sugyan/claude-code-webui
wshobson/agents,35947,35947,3908,55,55,6,https://github.com/wshobson/agents
darcyegb/ClaudeCodeAgents,701,701,63,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
anthropics/claude-plugins-official,27791,27791,2960,454,454,51,https://github.com/anthropics/claude-plugins-official
nanocoai/nanoclaw,29397,29397,12873,35,35,0,https://github.com/nanocoai/nanoclaw
Hyper66666/claude-code-sourcemap,215,215,458,1,1,0,https://github.com/Hyper66666/claude-code-sourcemap
disler/pi-vs-claude-code,1226,1226,302,14,14,6,https://github.com/disler/pi-vs-claude-code
KPR111/Claude-Code,17,17,330,0,0,0,https://github.com/KPR111/Claude-Code
centminmod/my-claude-code-setup,2356,2356,223,10,10,-1,https://github.com/centminmod/my-claude-code-setup
snarktank/ralph,19557,19557,1948,70,70,3,https://github.com/snarktank/ralph
alirezarezvani/claude-skills,16190,16190,2232,94,94,15,https://github.com/alirezarezvani/claude-skills
huangjia2019/claude-code-engineering,704,704,261,0,0,0,https://github.com/huangjia2019/claude-code-engineering
jeremylongshore/claude-code-plugins-plus-skills,2240,2240,310,1,1,3,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
catlog22/Claude-Code-Workflow,2039,2039,162,5,5,1,https://github.com/catlog22/Claude-Code-Workflow
